specimen	specimen_name	sample_type	sample_type_supt1
m91n702-s511	1265SPE-CX	CERVIX	CERVIX
m91n702-s513	9671XAI-CX	CERVIX	CERVIX
m91n702-s515	9770MEY-CX	CERVIX	CERVIX
m91n702-s516	0786FOS-CX	CERVIX	CERVIX
m91n702-s517	2995LIB-CX	CERVIX	CERVIX
m91n702-s518	3347MCL-CX	CERVIX	CERVIX
m91n702-s520	4133BLU-CX	CERVIX	CERVIX
m91n702-s521	7474HAS-CX	CERVIX	CERVIX
m91n702-s522	7991SON-CX	CERVIX	CERVIX
m91n703-s502	1631MCD-CX	CERVIX	CERVIX
m91n703-s505	3457PIE-CX	CERVIX	CERVIX
m91n703-s506	3618HER-CX	CERVIX	CERVIX
m91n703-s507	5600BAR-CX	CERVIX	CERVIX
m91n703-s508	6299BAB-CX	CERVIX	CERVIX
m91n703-s510	6659BAD-CX	CERVIX	CERVIX
m91n703-s511	7229DAV-CX	CERVIX	CERVIX
m91n703-s513	8088LAN-CX	CERVIX	CERVIX
m91n703-s517	0354SMI-CX	CERVIX	CERVIX
m91n703-s520	2371PAT-CX	CERVIX	CERVIX
m91n703-s521	2456CUR-CX	CERVIX	CERVIX
m91n703-s522	4186LAR-CX	CERVIX	CERVIX
m91n704-s502	8005STR-CX	CERVIX	CERVIX
m91n704-s505	0002MCQ-CX	CERVIX	CERVIX
m91n704-s506	1609HEU-CX	CERVIX	CERVIX
m91n704-s508	4346ACO-CX	CERVIX	CERVIX
m91n704-s510	7745DUN-CX	CERVIX	CERVIX
m91n704-s511	7877STA-CX	CERVIX	CERVIX
m91n704-s513	6015CUT-CX	CERVIX	CERVIX
m91n704-s515	6144SAU-CX	CERVIX	CERVIX
m91n704-s516	6408HIG-CX	CERVIX	CERVIX
m91n704-s517	7499ZIC-CX	CERVIX	CERVIX
m91n704-s518	7839BOH-CX	CERVIX	CERVIX
m91n704-s520	8661SAN-CX	CERVIX	CERVIX
m91n704-s521	8682BER-CX	CERVIX	CERVIX
m91n704-s522	8896GIL-CX	CERVIX	CERVIX
m91n705-s502	9087WIL-CX	CERVIX	CERVIX
m91n705-s503	DB-CTL-25	BUFFER	DNA Extraction Control – Buffer
m91n705-s505	0691SAT-CX	CERVIX	CERVIX
m91n705-s506	0763DER-CX	CERVIX	CERVIX
m91n705-s507	0915MAR-CX	CERVIX	CERVIX
m91n705-s508	1394FAS-CX	CERVIX	CERVIX
m91n705-s511	2465SLA-CX	CERVIX	CERVIX
m91n705-s513	8972SIB-CX	CERVIX	CERVIX
m91n705-s515	1180MCC-CX	CERVIX	CERVIX
m91n705-s516	2470GIV-CX	CERVIX	CERVIX
m91n705-s520	2744NOB-CX	CERVIX	CERVIX
m91n705-s521	3361PET-CX	CERVIX	CERVIX
m91n705-s522	4231OSB-CX	CERVIX	CERVIX
m91n706-s502	DB-CTL-32	BUFFER	DNA Extraction Control – Buffer
m91n706-s503	3118CAM-CX	CERVIX	CERVIX
m91n706-s505	3154ALI-CX	CERVIX	CERVIX
m91n706-s506	3154KES-CX	CERVIX	CERVIX
m91n706-s507	3266PUT-CX	CERVIX	CERVIX
m91n706-s508	3614AND-CX	CERVIX	CERVIX
m91n706-s510	4375ALC-CX	CERVIX	CERVIX
m91n706-s511	4626CAN-CX	CERVIX	CERVIX
m91n706-s513	4688FOS-CX	CERVIX	CERVIX
m91n706-s515	4859BAL-CX	CERVIX	CERVIX
m91n706-s516	4919HEA-CX	CERVIX	CERVIX
m91n706-s517	4922COL-CX	CERVIX	CERVIX
m91n706-s518	5228SCI-CX	CERVIX	CERVIX
m91n706-s520	5409ROH-CX	CERVIX	CERVIX
m91n706-s521	5558WAT-CX	CERVIX	CERVIX
m91n706-s522	6236GOL-CX	CERVIX	CERVIX
m91n707-s503	4726WOL-CX	CERVIX	CERVIX
m91n707-s505	4747RAM-CX	CERVIX	CERVIX
m91n707-s506	4753HIL-CX	CERVIX	CERVIX
m91n707-s507	4838SHE-CX	CERVIX	CERVIX
m91n707-s510	5255EAR-CX	CERVIX	CERVIX
m91n707-s511	5415RUE-CX	CERVIX	CERVIX
m91n707-s515	6553STA-CX	CERVIX	CERVIX
m91n707-s516	6612NEL-CX	CERVIX	CERVIX
m91n707-s517	6802DAV-CX	CERVIX	CERVIX
m91n707-s518	7425PAR-CX	CERVIX	CERVIX
m91n707-s520	7630BLA-CX	CERVIX	CERVIX
m91n707-s521	7754BRO-CX	CERVIX	CERVIX
m91n707-s522	7940GRA-CX	CERVIX	CERVIX
m91n710-s502	6283DUG-CX	CERVIX	CERVIX
m91n710-s503	DB-CTL-31	BUFFER	DNA Extraction Control – Buffer
m91n710-s505	6885DEN-CX	CERVIX	CERVIX
m91n710-s506	7169FIE-CX	CERVIX	CERVIX
m91n710-s507	7259COA-CX	CERVIX	CERVIX
m91n710-s508	7361PET-CX	CERVIX	CERVIX
m91n710-s510	7515MAC-CX	CERVIX	CERVIX
m91n710-s511	7579TRO-CX	CERVIX	CERVIX
m91n710-s513	8352PLA-CX	CERVIX	CERVIX
m91n710-s515	8653RAU-CX	CERVIX	CERVIX
m91n710-s516	8703REA-CX	CERVIX	CERVIX
m91n710-s517	9049SHE-CX	CERVIX	CERVIX
m91n710-s518	9152PEL-CX	CERVIX	CERVIX
m91n710-s520	0539ROB-CX	CERVIX	CERVIX
m91n710-s521	0618YAS-CX	CERVIX	CERVIX
m91n710-s522	0743BRA-CX	CERVIX	CERVIX
m91n711-s503	7994LAN-CX	CERVIX	CERVIX
m91n711-s505	9000LAN-CX	CERVIX	CERVIX
m91n711-s506	DB0-CTL-33	BUFFER	DNA Extraction Control – Buffer
m91n711-s507	0431RIL-CX	CERVIX	CERVIX
m91n711-s508	1312NYE-CX	CERVIX	CERVIX
m91n711-s510	1425TEL-CX	CERVIX	CERVIX
m91n711-s513	1425RIG-CX	CERVIX	CERVIX
m91n711-s515	1464BLO-CX	CERVIX	CERVIX
m91n711-s516	1701CRA-CX	CERVIX	CERVIX
m91n711-s517	3135SCA-CX	CERVIX	CERVIX
m91n711-s521	3449IML-CX	CERVIX	CERVIX
m91n711-s522	3450MOR-CX	CERVIX	CERVIX
m91n712-s502	2107LON-CX	CERVIX	CERVIX
m91n712-s503	3158POS-CX	CERVIX	CERVIX
m91n712-s505	3428HER-CX	CERVIX	CERVIX
m91n712-s506	4081HAL-CX	CERVIX	CERVIX
m91n712-s507	4113THO-CX	CERVIX	CERVIX
m91n712-s508	4428ERI-CX	CERVIX	CERVIX
m91n712-s510	4506REI-CX	CERVIX	CERVIX
m91n712-s513	3720STA-CX	CERVIX	CERVIX
m91n712-s515	4905KAY-CX	CERVIX	CERVIX
m91n712-s516	5472MIL-CX	CERVIX	CERVIX
m91n712-s517	5541FIN-CX	CERVIX	CERVIX
m91n712-s518	5607FOX-CX	CERVIX	CERVIX
m91n712-s520	6198MAD-CX	CERVIX	CERVIX
m91n714-s503	5667WIL-CX	CERVIX	CERVIX
m91n714-s505	6057PAO-CX	CERVIX	CERVIX
m91n714-s506	6527BAR-CX	CERVIX	CERVIX
m91n714-s508	7435URS-CX	CERVIX	CERVIX
m91n714-s510	7961BON-CX	CERVIX	CERVIX
m91n714-s511	7972CHA-CX	CERVIX	CERVIX
m91n714-s513	8002KAR-CX	CERVIX	CERVIX
m91n714-s515	8109MEN-CX	CERVIX	CERVIX
m91n714-s516	8330GOR-CX	CERVIX	CERVIX
m91n714-s517	8453YER-CX	CERVIX	CERVIX
m91n714-s518	8568ALK-CX	CERVIX	CERVIX
m91n714-s520	8744CRO-CX	CERVIX	CERVIX
m91n714-s521	8815VAN-CX	CERVIX	CERVIX
m91n715-s502	8707VOR-CX	CERVIX	CERVIX
m91n715-s503	8741CAR-CX	CERVIX	CERVIX
m91n715-s505	9013COT-CX	CERVIX	CERVIX
m91n715-s506	9531BEL-CX	CERVIX	CERVIX
m91n715-s507	9792MAR-CX	CERVIX	CERVIX
m91n715-s508	DB-CTL-58	BUFFER	DNA Extraction Control – Buffer
m91n715-s513	8836MOR-CX	CERVIX	CERVIX
m91n715-s517	9891SCH-CX	CERVIX	CERVIX
m91n716-s502	NTC_m91_2A1	WATER	No Template PCRControl – Water
m91n716-s513	NTC_m91_4A1	WATER	No Template PCRControl – Water
m91n718-s511	DB-CTL-13	BUFFER	DNA Extraction Control – Buffer
m91n719-s522	DB-CTL-43	BUFFER	DNA Extraction Control – Buffer
m91n720-s513	DB-CTL-44	BUFFER	DNA Extraction Control – Buffer
m91n721-s507	NTC_m91_2E5	WATER	No Template PCRControl – Water
m91n721-s518	NTC_m91_4E5	WATER	No Template PCRControl – Water
m91n722-s503	DB-CTL-20	BUFFER	DNA Extraction Control – Buffer
m91n723-s513	NTC_m91_4A7	WATER	No Template PCRControl – Water
m91n724-s502	NTC_m91_2A8	WATER	No Template PCRControl – Water
m91n726-s508	NTC_m91_2F9	WATER	No Template PCRControl – Water
m91n726-s520	NTC_m91_4F9	WATER	No Template PCRControl – Water
m91n727-s513	DB-CTL-45	BUFFER	DNA Extraction Control – Buffer
m91n727-s522	DB-CTL-46	BUFFER	DNA Extraction Control – Buffer
m91n728-s506	DB-CTL-42	BUFFER	DNA Extraction Control – Buffer
