seqid	sample_name	animal	sample_number
m75n711-s506	Animal_05-18	Animal_05	18
m75n711-s507	Animal_05-19	Animal_05	19
m75n711-s510	Animal_05-20	Animal_05	20
m75n711-s511	Animal_05-21	Animal_05	21
m75n711-s513	Animal_01-15	Animal_01	15
m75n711-s515	Animal_01-16	Animal_01	16
m75n711-s517	Animal_01-18	Animal_01	18
m75n711-s518	Animal_01-19	Animal_01	19
m75n711-s521	Animal_01-20	Animal_01	20
m75n711-s522	Animal_01-21	Animal_01	21
m75n712-s502	Animal_05-22	Animal_05	22
m75n712-s503	Animal_05-23	Animal_05	23
m75n712-s505	Animal_05-24	Animal_05	24
m75n712-s506	Animal_05-25	Animal_05	25
m75n712-s508	Animal_05-26	Animal_05	26
m75n712-s510	Animal_05-27	Animal_05	27
m75n712-s511	Animal_05-28	Animal_05	28
m75n712-s513	Animal_01-22	Animal_01	22
m75n712-s515	Animal_01-23	Animal_01	23
m75n712-s517	Animal_01-25	Animal_01	25
m75n712-s520	Animal_01-26	Animal_01	26
m75n712-s521	Animal_01-27	Animal_01	27
m75n712-s522	Animal_01-28	Animal_01	28
m75n714-s502	Animal_05-29	Animal_05	29
m75n714-s503	Animal_05-30	Animal_05	30
m75n714-s506	Animal_05-31	Animal_05	31
m75n714-s507	Animal_05-32	Animal_05	32
m75n714-s508	Animal_05-33	Animal_05	33
m75n714-s510	Animal_05-34	Animal_05	34
m75n714-s511	Animal_05-35	Animal_05	35
m75n714-s513	Animal_01-29	Animal_01	29
m75n714-s515	Animal_01-30	Animal_01	30
m75n714-s517	Animal_01-31	Animal_01	31
m75n714-s518	Animal_01-32	Animal_01	32
m75n714-s520	Animal_01-33	Animal_01	33
m75n714-s521	Animal_01-34	Animal_01	34
m75n714-s522	Animal_01-35	Animal_01	35
m75n715-s502	Animal_05-36	Animal_05	36
m75n715-s503	Animal_05-37	Animal_05	37
m75n715-s505	Animal_05-38	Animal_05	38
m75n715-s506	Animal_05-39	Animal_05	39
m75n715-s507	Animal_05-40	Animal_05	40
m75n715-s508	Animal_05-41	Animal_05	41
m75n715-s510	Animal_05-42	Animal_05	42
m75n715-s513	Animal_01-36	Animal_01	36
m75n715-s515	Animal_01-37	Animal_01	37
m75n715-s517	Animal_01-39	Animal_01	39
m75n715-s518	Animal_01-40	Animal_01	40
m75n715-s520	Animal_01-41	Animal_01	41
m75n715-s521	Animal_01-42	Animal_01	42
m75n716-s503	Animal_04-1	Animal_04	1
m75n716-s505	Animal_04-2	Animal_04	2
m75n716-s506	Animal_04-3	Animal_04	3
m75n716-s507	Animal_04-4	Animal_04	4
m75n716-s508	Animal_04-5	Animal_04	5
m75n716-s510	Animal_04-6	Animal_04	6
m75n716-s511	Animal_04-7	Animal_04	7
m75n718-s502	Animal_04-8	Animal_04	8
m75n718-s505	Animal_04-9	Animal_04	9
m75n718-s506	Animal_04-10	Animal_04	10
m75n718-s507	Animal_04-11	Animal_04	11
m75n718-s508	Animal_04-12	Animal_04	12
m75n718-s510	Animal_04-13	Animal_04	13
m75n719-s502	Animal_04-15	Animal_04	15
m75n719-s503	Animal_04-16	Animal_04	16
m75n719-s506	Animal_04-17	Animal_04	17
m75n719-s507	Animal_04-18	Animal_04	18
m75n719-s508	Animal_04-19	Animal_04	19
m75n719-s510	Animal_04-20	Animal_04	20
m75n719-s511	Animal_04-21	Animal_04	21
m75n720-s502	Animal_04-22	Animal_04	22
m75n720-s503	Animal_04-23	Animal_04	23
m75n720-s505	Animal_04-24	Animal_04	24
m75n720-s507	Animal_04-25	Animal_04	25
m75n720-s508	Animal_04-26	Animal_04	26
m75n720-s510	Animal_04-27	Animal_04	27
m75n720-s511	Animal_04-28	Animal_04	28
m75n721-s502	Animal_04-29	Animal_04	29
m75n721-s503	Animal_04-30	Animal_04	30
m75n721-s505	Animal_04-31	Animal_04	31
m75n721-s506	Animal_04-32	Animal_04	32
m75n721-s508	Animal_04-33	Animal_04	33
m75n721-s510	Animal_04-34	Animal_04	34
m75n721-s511	Animal_04-35	Animal_04	35
m75n722-s502	Animal_04-36	Animal_04	36
m75n722-s503	Animal_04-37	Animal_04	37
